episodio,semilla,recompensa,pasos
5,1004,-19.909185006160726,448
6,1005,198.76049681074414,502
10,1009,189.9696567971203,822
12,1011,189.51209784204033,503
15,1014,-82.77931639234589,401
19,1018,-37.5406673639321,399
21,1020,-35.938789143783495,479
22,1021,182.67692838086327,519
24,1023,-83.03995466544762,352
29,1028,182.005989520781,475
30,1029,-58.88054330392344,462
