semilla,politica_aleatoria,dqn,ppo,a2c,qrdqn
1000,-162.99072977712126,289.1681862991056,201.12052554782258,21.219363780614955,242.84997085689776
1001,-175.59866815205652,243.98763566411458,214.433584757603,10.196894576277757,269.19183249584427
1002,-267.3765867768235,260.4673871487869,204.59832995788548,-90.08571059493603,231.0310782270119
1003,-114.0088914673404,241.07030747768502,215.55050828586712,209.6872943166675,248.45887397825763
1004,-204.62272843068047,272.14653716946543,-19.909185006160726,44.576721495929235,221.47900882455195
1005,-371.19967287823914,228.43314123900595,198.76049681074414,183.6387117605832,221.2512205240177
1006,-248.62110240700542,259.12041871516556,243.00556040301,274.49448580839737,203.04390094783605
1007,-366.9933119312453,214.22108671700965,218.17490084051167,-20.049350701554374,266.57256580923007
1008,-265.618273713397,254.88902831684297,202.2431469813647,-119.32272980429894,-184.1956054250576
1009,-113.19513526106908,247.20856642913301,189.9696567971203,-15.814066560620773,155.9865936807687
1010,-264.12742776749917,284.9010230817386,237.53081533946283,170.73335999362973,-173.09885486718002
1011,-300.3078755438304,242.3228918752342,189.51209784204033,-142.6130698636122,224.79872697996777
1012,-259.33127350927333,246.16581283848768,201.9347254504766,200.89661153384372,-66.50936131488446
1013,-370.8199281440535,71.64998259531663,248.5295499870725,-145.40024747788203,283.1569210830453
1014,-96.25159458432523,242.94916148401273,-82.77931639234589,165.866503865232,207.20952831426303
1015,-176.8169607236836,284.8230131401864,241.35400169745094,-6.93110546808056,285.89041438718107
1016,-123.07903362493563,254.0431147903291,205.97153476998307,206.18195930315932,270.990202026049
1017,-137.09318182276797,252.08576299558257,208.86506394235244,247.47521863587664,267.67874199383095
1018,-76.22253418890408,281.330710497827,-37.5406673639321,39.047203008667026,126.48486483955536
1019,-136.65556816509272,267.28582754808895,213.39976806440728,233.75274002014538,228.185937177845
1020,-248.22741362536365,213.00311033942097,-35.938789143783495,17.67163680300243,236.24488183993168
1021,-248.18236441461383,196.24983542064467,182.67692838086327,-100.11408095282682,217.01721806470806
1022,-510.19892415136906,259.0344712489258,217.1179222932438,11.248463840179966,230.52291971006264
1023,-212.90484114339517,253.80288854808126,-83.03995466544762,1.2655519881336375,220.32420037956774
1024,-152.42562641772588,296.4513653772491,246.1282618868218,276.6325647413309,246.89082634528324
1025,-235.41835260672252,278.2793075393496,221.6637065733525,-106.39821028895811,254.6892020968314
1026,-191.67445879002622,294.422304640128,213.49075866685814,241.77848030587327,281.708374569189
1027,-485.1863616843754,183.5902002387212,210.99416495314483,-110.48175839558266,249.2109209223881
1028,-264.99633941552196,267.557618395799,182.005989520781,265.41066267668185,234.58782714858847
1029,-99.33865632108744,266.1117395006678,-58.88054330392344,59.5227454972748,239.43059007591472
