algoritmo,timesteps_entrenamiento,recompensa_media,desviacion_tipica,minimo,maximo,episodios_resueltos,porcentaje_exito,pasos_medios,resuelve_en_promedio
Política aleatoria,,-229.3161272479848,107.58464463681601,-510.19892415136906,-76.22253418890408,0,0.0,99.03333333333333,False
DQN,100000.0,248.22574790907018,42.40382326814212,71.64998259531663,296.4513653772491,27,90.0,347.73333333333335,True
PPO,1000000.0,159.69811812915486,108.2093922790619,-83.03995466544762,248.5295499870725,19,63.33333333333333,504.23333333333335,False
A2C,500000.0,67.46956146143827,139.45712230613617,-145.40024747788203,276.6325647413309,9,30.0,488.8,False
QR-DQN,100000.0,198.0361173897165,119.12340115703775,-184.1956054250576,285.89041438718107,25,83.33333333333334,430.76666666666665,False
