timesteps,recompensa_media,desviacion_tipica
24992,-5842.3755441,2057.1148304013723
49984,-900.5214698,28.84843447239473
74976,-700.1244655,309.29246049751015
99968,-559.2777811,379.2497974753975
124960,83.3963974,120.79032208193402
149952,21.168638799999997,117.58133516778157
174944,-75.9764974,84.6072935569906
199936,-12.694541199999998,207.50211847990414
224928,82.20230699999999,105.05009005952947
249920,60.587343399999995,126.74766387687635
274912,-41.11400479999999,232.63667515639258
299904,30.2618433,191.79340807489743
324896,-21.1970671,126.69889447353381
349888,120.0448216,126.75267948353489
374880,-34.786274199999994,144.5415317656446
399872,36.2834831,139.39950866915427
424864,46.935899000000006,149.65524949540642
449856,51.7685712,148.10991715529462
474848,157.2284913,137.3782924525893
499840,52.197963200000004,147.47629523631105
