timesteps,recompensa_media,desviacion_tipica
5000,-120.9535018,48.962071015658225
10000,-68.9290254,29.657067601276673
15000,-20.378430400000003,22.446967711195047
20000,4.9285835,18.733437441315942
25000,-49.668422500000005,20.201371151188628
30000,17.7824255,57.91186010214947
35000,53.68844360000001,83.50007899155142
40000,115.56561959999999,113.47900739355171
45000,36.399618800000006,174.26446839999576
50000,115.3205645,118.33639767158044
55000,132.2387008,96.29586527639033
60000,250.36125090000002,29.811504985854672
65000,10.256423899999998,176.25361229365953
70000,186.1348132,60.92407569154635
75000,123.1186327,109.76324107160949
80000,228.59594930000003,51.04784829793251
85000,200.52396,98.73744670162147
90000,41.40971470000001,188.74213658708226
95000,241.26853459999998,119.16298576740328
100000,247.52126140000001,78.41282824771204
