modelo,episodio,semilla,recompensa,pasos,resuelto,posicion_x_final,posicion_y_final,velocidad_x_final,velocidad_y_final,angulo_final,pata_izquierda,pata_derecha
A2C - mejor checkpoint,1,1000,21.219363780614955,160,False,-0.009400367736816406,-0.04271134361624718,-0.2639203369617462,6.063298328045155e-14,0.0013252227799966931,True,True
A2C - mejor checkpoint,2,1001,10.196894576277757,353,False,0.20106831192970276,-0.04182163625955582,0.034659244120121,-0.0015323113184422255,-0.14487704634666443,True,True
A2C - mejor checkpoint,3,1002,-90.08571059493603,1000,False,-0.18466778099536896,1.0155339241027832,-0.02726816199719906,0.002578877378255129,-0.00616747559979558,False,False
A2C - mejor checkpoint,4,1003,209.6872943166675,337,True,0.19041013717651367,0.031544361263513565,0.0,0.0,0.27618348598480225,True,True
A2C - mejor checkpoint,5,1004,44.576721495929235,158,False,0.0302900318056345,-0.03281102329492569,-0.20037178695201874,-0.13032828271389008,-0.12274032086133957,True,False
A2C - mejor checkpoint,6,1005,183.6387117605832,533,False,0.10942230373620987,-0.0011550927301868796,0.0,0.0,0.0005853165639564395,False,True
A2C - mejor checkpoint,7,1006,274.49448580839737,307,True,-0.0752810463309288,-0.0008942747372202575,0.0,0.0,0.002145343227311969,True,True
A2C - mejor checkpoint,8,1007,-20.049350701554374,274,False,0.16860485076904297,-0.03443676605820656,0.3956684470176697,-0.1373751312494278,0.10174201428890228,True,True
A2C - mejor checkpoint,9,1008,-119.32272980429894,1000,False,-0.18366555869579315,1.042467474937439,-0.026161249727010727,-0.021515458822250366,-0.04427444934844971,False,False
A2C - mejor checkpoint,10,1009,-15.814066560620773,417,False,0.033973027020692825,-0.038173723965883255,0.20652072131633759,-0.15249890089035034,0.0557585209608078,True,True
A2C - mejor checkpoint,11,1010,170.73335999362973,1000,False,0.2104998528957367,-0.03036821074783802,0.0022757123224437237,-0.0003255685151088983,-0.21686121821403503,True,True
A2C - mejor checkpoint,12,1011,-142.6130698636122,1000,False,-0.16672363877296448,1.0460416078567505,-0.05147672817111015,-0.011354884132742882,-0.05666261166334152,False,False
A2C - mejor checkpoint,13,1012,200.89661153384372,544,True,0.029494190588593483,-0.0007278704433701932,0.0,0.0,-0.00041689813951961696,True,True
A2C - mejor checkpoint,14,1013,-145.40024747788203,165,False,0.08027009665966034,0.009189758449792862,0.2512158155441284,0.04819124564528465,-2.065727710723877,False,False
A2C - mejor checkpoint,15,1014,165.866503865232,686,False,-0.0338345542550087,-0.0008615517872385681,0.0,0.0,-0.0010891871061176062,True,True
A2C - mejor checkpoint,16,1015,-6.93110546808056,158,False,0.1571735441684723,-0.04276670515537262,0.520434558391571,4.120088487979956e-05,0.00024009034677874297,True,True
A2C - mejor checkpoint,17,1016,206.18195930315932,512,True,0.12147865444421768,0.0007888293475843966,0.0,0.0,0.008035114966332912,True,True
A2C - mejor checkpoint,18,1017,247.47521863587664,421,True,0.029263591393828392,-0.0006671810406260192,0.0,0.0,-0.0022228339221328497,True,True
A2C - mejor checkpoint,19,1018,39.047203008667026,172,False,0.0016592979663982987,-0.03703071177005768,-0.2820437550544739,-0.16245628893375397,-0.0773484855890274,True,True
A2C - mejor checkpoint,20,1019,233.75274002014538,475,True,-0.0568695068359375,-0.0008411312010139227,0.0,0.0,0.0022928707767277956,True,True
A2C - mejor checkpoint,21,1020,17.67163680300243,119,False,0.130530446767807,-0.036393240094184875,0.6244806051254272,-0.252346009016037,0.08102423697710037,True,False
A2C - mejor checkpoint,22,1021,-100.11408095282682,1000,False,-0.1953721046447754,1.0319571495056152,0.02651699259877205,-0.015790555626153946,-0.0385296568274498,False,False
A2C - mejor checkpoint,23,1022,11.248463840179966,216,False,0.13642196357250214,-0.039811838418245316,-0.2865962088108063,-0.21284694969654083,-0.03556219860911369,True,True
A2C - mejor checkpoint,24,1023,1.2655519881336375,335,False,0.03246765211224556,-0.02945958636701107,0.13649049401283264,0.0009995463769882917,-0.1748964488506317,True,True
A2C - mejor checkpoint,25,1024,276.6325647413309,323,True,0.11019811779260635,-0.0006766581791453063,0.0,0.0,0.0016217881347984076,False,True
A2C - mejor checkpoint,26,1025,-106.39821028895811,1000,False,-0.18106050789356232,1.0278520584106445,0.04092251509428024,0.01715143956243992,0.08977484703063965,False,False
A2C - mejor checkpoint,27,1026,241.77848030587327,462,True,0.19412365555763245,0.012372932396829128,0.0,0.0,0.10405034571886063,True,True
A2C - mejor checkpoint,28,1027,-110.48175839558266,1000,False,-0.17588910460472107,1.0146911144256592,-0.03431471437215805,-0.023062458261847496,-0.02253061905503273,False,False
A2C - mejor checkpoint,29,1028,265.41066267668185,320,True,0.03620205074548721,-0.0013871216215193272,0.0,0.0,0.0004144680860918015,True,True
A2C - mejor checkpoint,30,1029,59.5227454972748,217,False,-0.04900560528039932,-0.04071256145834923,0.006424619350582361,-0.004165538586676121,0.02597258798778057,True,True
