timesteps,recompensa_media,desviacion_tipica
10000,-687.56629675,300.740243164272
20000,-36.54602195,79.06982534219858
30000,96.51113315,36.55283822531864
40000,140.72709535,111.0479149823232
50000,110.77047065,140.18955188564863
60000,164.84838839999998,175.92286131922526
70000,187.69730140000004,136.5243715701063
80000,199.7219297,80.42933315040094
90000,239.94270455,27.952851470792275
100000,238.65390740000004,56.65999637846241
