algoritmo,recompensa_media,desviacion_tipica,minimo,maximo,episodios_resueltos,porcentaje_exito,pasos_medios
DQN,248.22574790907018,42.40382326814212,71.64998259531663,296.4513653772491,27,90.0,347.73333333333335
QR-DQN,198.0361173897165,119.12340115703775,-184.1956054250576,285.89041438718107,25,83.33333333333334,430.76666666666665
